face_shape,eye_shape,eye_color,nose_shape,lip_shape,skin_color,hair_type,height,weight,ethnicity
5,2,2,2,1,4,2,66,80,0
2,6,5,6,3,3,3,69,76,1
5,5,1,6,9,4,2,71,75,0
1,6,1,4,4,3,2,70,60,0
2,8,2,1,2,2,1,69,79,0
5,7,1,6,1,4,1,62,52,4
3,6,4,4,4,2,3,63,61,2
3,6,4,3,2,2,2,64,59,2
3,8,2,3,2,3,2,61,57,3
6,7,2,4,3,3,5,73,86,1
5,4,1,6,4,5,1,62,60,0
1,7,1,6,4,3,3,71,83,0
4,3,2,3,6,2,2,73,80,2
1,7,1,2,5,3,2,68,54,0
1,3,1,1,2,3,2,63,55,3
1,3,1,3,1,4,2,64,61,3
3,3,4,3,2,2,2,58,48,3
3,3,2,1,2,4,5,65,63,3
2,2,1,2,2,3,2,65,45,1
2,4,4,4,4,1,1,64,61,1
4,3,4,4,4,2,1,58,68,1
5,2,5,6,1,2,3,74,80,1
4,5,3,5,5,3,2,64,60,5
3,5,3,4,2,3,3,49,52,3
2,2,3,3,5,4,4,61,57,2
2,2,1,2,2,3,2,65,45,1
3,2,2,4,4,2,3,62,51,2
6,5,5,5,1,4,2,71,72,4
6,8,5,5,2,3,1,70,69,4
4,4,3,3,4,4,3,64,53,3
2,3,2,3,5,1,1,67,68,2
4,5,3,5,4,2,2,56,65,1
4,4,2,6,2,2,2,70,75,1
6,1,1,4,4,4,4,49,42,5
6,7,4,4,4,5,3,47,48,5
1,6,2,6,6,1,1,57,58,5
1,7,1,6,4,1,1,60,59,5
3,6,1,4,3,1,2,61,57,5
4,7,2,5,3,4,3,68,72,1
2,3,2,3,5,1,1,67,68,2
2,5,1,2,1,2,2,65,60,0
5,7,2,4,3,4,5,51,53,5
5,7,1,6,1,2,2,70,68,0
2,4,1,4,3,3,3,63,67,3
4,3,2,3,6,2,2,73,80,2
4,5,4,2,3,2,3,58,54,2
2,5,2,4,4,3,2,74,77,3
4,5,2,3,3,2,2,74,90,0
4,5,3,5,5,3,2,64,60,5
3,5,3,4,2,3,3,49,52,3
2,2,3,3,5,4,4,61,57,2
3,7,4,4,6,3,4,49,54,3
4,7,5,5,5,4,4,72,72,5
6,8,4,2,4,4,3,64,48,5
2,1,2,3,3,4,2,57,87,1
4,5,3,2,3,1,1,45,46,0
4,5,4,4,3,1,2,61,54,1
4,2,5,3,5,2,2,74,76,0
1,3,4,4,6,4,2,67,74,2
5,6,4,3,5,2,5,71,75,5
2,8,2,6,4,5,3,74,80,4
6,1,1,4,6,2,3,68,79,5
5,8,1,6,4,5,2,49,48,3
3,6,1,2,6,4,2,53,59,1
6,2,2,6,5,3,2,49,54,2
2,8,4,6,3,4,2,61,65,3
3,5,3,4,5,3,5,61,64,5
4,7,1,6,5,3,1,64,60,0
1,7,1,2,1,4,2,70,85,0
2,2,1,6,2,4,3,64,42,0
1,6,2,5,5,2,3,63,65,2
5,3,1,3,3,3,1,62,55,0
6,5,1,6,3,4,3,58,55,4
2,1,1,6,2,4,1,62,63,0
5,2,2,3,6,2,1,73,91,4
6,8,4,1,4,5,4,50,48,3
5,4,2,3,2,4,3,52,46,5
6,7,1,4,3,4,3,50,50,4
3,6,2,5,5,2,2,55,48,2
5,4,2,3,2,4,3,50,45,5
1,1,2,6,4,1,1,70,52,0
3,6,2,5,5,2,2,60,59,2
2,7,1,4,1,3,2,63,77,0
6,8,4,1,4,5,3,46,41,3
1,4,2,6,2,2,2,60,45,0
1,7,1,4,4,4,2,52,56,4
4,8,1,3,5,2,2,60,45,1
4,8,1,3,5,2,2,60,45,1
1,1,1,2,1,3,1,62,40,0
1,3,1,1,2,3,2,63,55,3
1,3,1,3,1,4,2,64,61,3
3,3,4,3,2,2,2,58,48,3
3,3,2,1,2,4,5,65,63,3
2,2,1,2,2,3,2,65,45,1
2,4,4,4,4,1,1,64,61,1
4,3,4,4,4,2,1,58,68,1
5,2,5,6,1,2,3,74,80,1
4,5,3,5,5,3,2,64,60,5
3,5,3,4,2,3,3,49,52,3
5,1,2,2,2,3,1,63,76,0
2,2,3,3,5,4,4,61,57,2
2,2,1,2,2,3,2,65,45,1
